type,name,lat,lng,assetId,tds,AveDrySolids,classification,InletScreened6mm,InletDeGritting,SludgeScreened,CoLocatedSTC,OpsHrs,TankerSizeM3,Collection,SlugePrimaryDestination,SlugePrimaryDestinationPercent,PrimaryTransportMode,SlugeSecondaryDestination,SlugeSecondaryDestinationPercent,SecondaryTransportMode
sWwTW,COALBURNS STW,54.9431,-1.80062,NST3052,21,,SB,,,,,,,,,,,,,
sWwTW,COCKFIELD STW,54.6182,-1.79224,WST1162,27,,SB Cphos,,,,,,,,,,,,,
sWwTW,DUNSTAN STW,55.4727,-1.60423,NST3202,1,,SB,,,,,,,,,,,,,
sWwTW,EDMONDSLEY STW,54.8429,-1.63164,WST1232,5,,SB,,,,,,,,,,,,,
sWwTW,EASt HEDLEYHOPE STW,54.758,-1.75725,WST1212,0,,SB,,,,,,,,,,,,,
sWwTW,EAST HOWLE STW,54.6995,-1.54277,WSP204A,1,,SB,,,,,,,,,,,,,
sWwTW,EAST LAYTON STW,54.4855,-1.74681,TST5082   ,1,,SB,,,,,,,,,,,,,
sWwTW,EAST WOODBURN STW,55.1765,-2.14655,NST1491,0,,SB,,,,,,,,,,,,,
sWwTW,EDMUNDBYERS STW,54.8427,-1.97876,NST2151   ,1,,SB,,,,,,,,,,,,,
sWwTW,EGLINGHAM STW,55.4638,-1.82083,NST1242,1,,SB,,,,,,,,,,,,,
sWwTW,ELLINGHAM STW,55.5245,-1.73082,NST3272,1,,SB,,,,,,,,,,,,,
sWwTW,ELSDON STW,55.2311,-2.10042,NST2822,2,,SB,,,,,,,,,,,,,
sWwTW,EMBLETON,55.4898,-1.6331,NST1212,10,,SB,,,,,,,,,,,,,
sWwTW,EPPLEBY STW,54.513,-1.72141,TST5092,5,,SB,,,,,,,,,,,,,
sWwTW,FIR TREE STW,54.7024,-1.78871,WST1272,0,,SB,,,,,,,,,,,,,
sWwTW,FONTBURN STW,55.2379,-1.92033,N0071     ,0,,SB,,,,,,,,,,,,,
sWwTW,FOURSTONES STW,55.0037,-2.17985,NST1891,0,,SB,,,,,,,,,,,,,
sWwTW,FROSTERLEY STW,54.7272,-1.93329,WST1882,6,,SB,,,,,,,,,,,,,
sWwTW,GAINFORD   STW,54.5423,-1.72802,TST3092,24,,SB,,,,,,,,,,,,,
sWwTW,GLANTON STW,55.4189,-1.89471,NST1261   ,2,,SB,,,,,,,,,,,,,
sWwTW,GREAT BROUGHTON STW,54.4566,-1.16609,TST2032,3,,SB,,,,,,,,,,,,,
sWwTW,GREATHAM STW,54.638,-1.23709,TST4052,0,,SB,,,,,,,,,,,,,
sWwTW,GRIBDALE STW,54.4922,-1.09881,TST2252,0,,SB,,,,,,,,,,,,,
sWwTW,GUNNERTON STW,55.0691,-2.15172,NST1731,1,,SB,,,,,,,,,,,,,
sWwTW,HAWTHORN STW,54.8034,-1.33816,WST1292,6,,SB,,,,,,,,,,,,,
sWwTW,HAYDON BRIDGE STW,54.9751,-2.23485,NST1922,25,,SB,,,,,,,,,,,,,
sWwTW,HEBRON STW,55.1995,-1.69575,NST4121,5,,SB,,,,,,,,,,,,,
sWwTW,HEDDON ON THE WALL STW,54.9886,-1.78793,NST2222,16,,SB,,,,,,,,,,,,,
sWwTW,HEPSCOTT STW,55.1484,-1.6414,NST1602,5,,SB,,,,,,,,,,,,,
sWwTW,HEUGH HALL STW,54.7323,-1.51269,WST1332   ,0,,SB,,,,,,,,,,,,,
sWwTW,HOLMSIDE STW,54.8371,-1.66046,WST1362,0,,SB,,,,,,,,,,,,,
