Id,Company,Status,StatusStart,Latitude,Longitude,ReceivingWaterCourse,LastUpdated,ObjectId,LatestEventStart,LatestEventEnd,x,y
SRN9020,Southern Water,0,10/25/2023 2:56:00 AM,50.8353031752298,-1.22218357240413,MEON,12/22/2024 3:15:00 PM,6168878,10/25/2023 2:56:00 AM,10/25/2023 3:25:00 AM,-136052.852935932,6592212.30618975
SRN0228,Southern Water,0,1/4/2024 4:04:38 PM,50.8522897261842,-1.29122756503433,HOOK LAKE,12/22/2024 3:15:00 PM,6168879,1/4/2024 4:04:38 PM,1/5/2024 12:48:30 AM,-143738.79503786,6595206.95959077
SRN0237,Southern Water,0,11/27/2024 8:22:49 AM,50.9112418631811,-1.49032355098784,BARTLEY WATER,12/22/2024 3:15:00 PM,6168880,11/27/2024 8:22:49 AM,11/27/2024 9:55:01 AM,-165902.05881319,6605608.42797655
SRN0265,Southern Water,0,12/1/2024 5:48:00 PM,50.8486868909862,-1.18048186440928,SOLENT,12/22/2024 3:15:00 PM,6168881,12/1/2024 5:48:00 PM,12/1/2024 5:58:00 PM,-131410.640036735,6594571.70465665
SRN0293,Southern Water,0,11/4/2023 1:10:00 PM,50.7832196630748,-0.955510891544542,CHICHESTER HARBOUR,12/22/2024 3:15:00 PM,6168882,11/4/2023 1:10:00 PM,11/4/2023 11:48:00 PM,-106366.985894165,6583037.00334152
SRN0330,Southern Water,0,8/1/2024 5:22:25 PM,51.0510040795572,-1.31758856562066,ITCHEN,12/22/2024 3:15:00 PM,6168883,8/1/2024 5:22:25 PM,8/1/2024 8:15:00 PM,-146673.288199932,6630320.71763333
SRN0334,Southern Water,0,12/5/2024 2:23:42 AM,50.818983725707,-1.09184960722654,PORTSMOUTH HARBOUR,12/22/2024 3:15:00 PM,6168884,12/5/2024 2:23:42 AM,12/5/2024 6:00:00 AM,-121544.142299294,6589336.28621986
SRN0338,Southern Water,0,11/26/2024 10:09:00 AM,50.9178520496034,-1.3706098291361,RIVER MIDDEN,12/22/2024 3:15:00 PM,6168885,11/26/2024 10:09:00 AM,11/26/2024 10:16:00 AM,-152575.588255686,6606775.54515932
SRN0355,Southern Water,0,11/27/2024 2:34:00 AM,50.8094847758468,-1.18145186251797,ALVER,12/22/2024 3:15:00 PM,6168886,11/27/2024 2:34:00 AM,11/27/2024 12:56:00 PM,-131518.619732265,6587662.7237857
SRN0374,Southern Water,0,11/27/2024 2:48:43 AM,50.8899219822814,-1.04483160413759,WALLINGTON,12/22/2024 3:15:00 PM,6168887,11/27/2024 2:48:43 AM,11/27/2024 8:15:53 AM,-116310.122137316,6601845.24573009
SRN0378,Southern Water,0,9/23/2024 4:57:49 AM,50.7972626575994,-1.12079188494494,PORTSMOUTH HARBOUR,12/22/2024 3:15:00 PM,6168888,9/23/2024 4:57:49 AM,9/23/2024 5:24:00 AM,-124765.981917304,6585509.88336807
SRN0406,Southern Water,0,12/5/2024 5:15:00 AM,50.8570849881313,-1.17266248764438,WALLINGTON,12/22/2024 3:15:00 PM,6168889,12/5/2024 5:15:00 AM,12/5/2024 5:45:00 AM,-130540.190996946,6596052.5403354
SRN0412,Southern Water,0,9/5/2022 7:58:00 PM,50.895451524549,-1.40318962215144,SOLENT,12/22/2024 3:15:00 PM,6168890,9/5/2022 7:58:00 PM,9/5/2022 8:28:00 PM,-156202.354224304,6602821.10236681
SRN0726,Southern Water,0,11/27/2024 9:17:00 AM,50.813130018596,-1.22808771855883,SOLENT,12/22/2024 3:15:00 PM,6168891,11/27/2024 9:17:00 AM,11/27/2024 9:49:00 AM,-136710.099479442,6588304.91677858
SRN0419,Southern Water,0,5/16/2024 7:44:54 AM,50.8370199089329,-1.18001874736886,HOEFORD LAKE,12/22/2024 3:15:00 PM,6168892,5/16/2024 7:44:54 AM,5/16/2024 9:30:50 AM,-131359.086083618,6592514.90918798
SRN0425,Southern Water,0,11/27/2024 7:17:39 AM,50.833385832369,-1.28810579882595,SOUTHAMPTON WATER,12/22/2024 3:15:00 PM,6168893,11/27/2024 7:17:39 AM,11/27/2024 1:12:10 PM,-143391.281613168,6591874.35563347
SRN9043,Southern Water,0,11/27/2024 3:46:30 AM,50.9558224914184,-1.29563364434879,ITCHEN,12/22/2024 3:15:00 PM,6168894,11/27/2024 3:46:30 AM,11/27/2024 3:56:45 PM,-144229.277543541,6613482.95015143
SRN0436,Southern Water,0,12/6/2024 11:43:58 PM,50.8799809360399,-1.32037398956368,HAMBLE,12/22/2024 3:15:00 PM,6168895,12/6/2024 11:43:58 PM,12/7/2024 12:23:42 AM,-146983.360174912,6600091.13576875
SRN0443,Southern Water,0,11/17/2022 9:39:15 AM,50.8775805421435,-1.34087690719288,TRIBUTARY OF SPEAR POND GULLY,12/22/2024 3:15:00 PM,6168896,11/17/2022 9:39:15 AM,11/17/2022 10:54:48 AM,-149265.734525171,6599667.63937608
SRN0638,Southern Water,0,11/30/2024 6:12:00 PM,50.9865306305141,-1.38278888397258,MONKS BROOK VIA DRAIN,12/22/2024 3:15:00 PM,6168897,11/30/2024 6:12:00 PM,11/30/2024 6:16:00 PM,-153931.354438427,6618911.49297753
SRN0475,Southern Water,0,12/11/2024 8:00:00 PM,50.9194751883628,-1.38837121103525,ITCHEN,12/22/2024 3:15:00 PM,6168898,12/11/2024 8:00:00 PM,12/11/2024 8:04:00 PM,-154552.776244485,6607062.15745768
SRN9081,Southern Water,0,11/27/2024 4:25:34 AM,50.9272792627657,-1.20585241706934,CURBRIDGE CREEK,12/22/2024 3:15:00 PM,6168899,11/27/2024 4:25:34 AM,11/27/2024 7:38:50 AM,-134234.877039997,6608440.33310862
SRN0511,Southern Water,0,9/23/2024 1:11:00 AM,50.7590967511124,-1.53635471445456,LYMINGTON,12/22/2024 3:15:00 PM,6168900,9/23/2024 1:11:00 AM,9/23/2024 1:13:00 AM,-171026.224490927,6578790.84848591
SRN0553,Southern Water,0,12/5/2024 3:15:00 AM,50.8126151526496,-1.09396031983289,PORTSMOUTH HARBOUR,12/22/2024 3:15:00 PM,6168901,12/5/2024 3:15:00 AM,12/5/2024 3:27:11 AM,-121779.105751844,6588214.2083113
SRN0590,Southern Water,0,11/27/2024 2:56:00 AM,50.818983725707,-1.09184960722654,PORTSMOUTH HARBOUR,12/22/2024 3:15:00 PM,6168902,11/27/2024 2:56:00 AM,11/27/2024 3:38:00 AM,-121544.142299294,6589336.28621986
SRN0596,Southern Water,0,11/27/2024 6:53:55 AM,50.8429895098276,-1.2998905191004,HOOK LAKE,12/22/2024 3:15:00 PM,6168903,11/27/2024 6:53:55 AM,11/27/2024 9:36:30 AM,-144703.150673261,6593567.23774791
SRN0130,Southern Water,0,9/23/2024 5:09:43 AM,50.8022263496692,-1.13517370566766,SOLENT,12/22/2024 3:15:00 PM,6168904,9/23/2024 5:09:43 AM,9/23/2024 8:12:34 AM,-126366.958876837,6586384.13500626
SRN0512,Southern Water,0,12/5/2024 3:18:39 AM,50.7340885580859,-1.58180491774167,LYMORE STREAM,12/22/2024 3:15:00 PM,6168905,12/5/2024 3:18:39 AM,12/5/2024 4:30:00 AM,-176085.717977299,6574391.17510836
SRN0640,Southern Water,0,11/27/2024 5:50:14 AM,50.9078721445309,-1.44171754610848,TEST,12/22/2024 3:15:00 PM,6168906,11/27/2024 5:50:14 AM,11/27/2024 6:17:00 AM,-160491.263100524,6605013.52268121
SRN0659,Southern Water,0,12/5/2024 4:41:00 AM,50.788156695923,-1.10592459053327,PORTSMOUTH HARBOUR,12/22/2024 3:15:00 PM,6168907,12/5/2024 4:41:00 AM,12/5/2024 4:44:00 AM,-123110.962273923,6583906.29805138
SRN0661,Southern Water,0,12/5/2024 5:35:52 AM,50.928536161651,-1.56882269191444,SOLENT,12/22/2024 3:15:00 PM,6168908,12/5/2024 5:35:52 AM,12/5/2024 8:46:00 AM,-174640.543208848,6608662.31922118
SRN0800,Southern Water,0,11/27/2024 3:10:00 AM,50.8338226867063,-1.04682921253156,BROOM CHANNEL,12/22/2024 3:15:00 PM,6168909,11/27/2024 3:10:00 AM,11/27/2024 3:20:00 AM,-116532.494886537,6591951.35429019
SRN0671,Southern Water,0,1/4/2024 4:47:02 PM,50.861960484099,-0.992117923696234,HERMITAGE STREAM,12/22/2024 3:15:00 PM,6168910,1/4/2024 4:47:02 PM,1/4/2024 5:59:00 PM,-110442.062072745,6596912.3584313
SRN0680,Southern Water,0,12/5/2024 5:15:00 AM,50.8502844182117,-1.17747067615414,PORTSMOUTH HARBOUR,12/22/2024 3:15:00 PM,6168911,12/5/2024 5:15:00 AM,12/5/2024 5:45:00 AM,-131075.43609349,6594853.37594675
SRN0689,Southern Water,0,11/27/2024 6:29:00 AM,50.9153799774155,-1.37917840086637,ITCHEN,12/22/2024 3:15:00 PM,6168912,11/27/2024 6:29:00 AM,11/27/2024 7:12:00 AM,-153529.437297526,6606339.04821092
